id,year,month,day,hour,minute,second,WaterTempC,SoilMoisture,AirTemp,AirHum,Dist1,Dist2,Dist3
271,2015,8,12,14,19,15,21.44,807.0,24.0,99.9,5.98,18.34,34.94
272,2015,8,12,14,19,17,21.44,805.0,24.0,99.9,6.01,18.74,34.94
273,2015,8,12,14,19,19,21.44,804.0,24.0,99.9,5.56,18.86,35.38
274,2015,8,12,14,19,21,21.44,807.0,24.0,99.9,5.87,18.86,34.94
275,2015,8,12,14,19,23,21.5,807.0,24.0,99.9,5.91,18.86,34.95
276,2015,8,12,14,19,25,21.44,805.0,24.0,99.9,5.82,18.86,34.95
277,2015,8,12,14,19,27,21.44,807.0,24.0,99.9,5.82,18.9,34.94
278,2015,8,12,14,19,29,21.44,806.0,24.0,99.9,5.43,18.86,34.94
279,2015,8,12,14,19,31,21.44,807.0,24.0,99.9,5.4,18.86,34.94
280,2015,8,12,14,19,33,21.44,805.0,24.0,99.9,5.87,18.86,34.95
281,2015,8,12,14,19,35,21.44,804.0,24.0,99.9,5.82,18.86,34.95
282,2015,8,12,14,19,37,21.44,805.0,24.0,99.9,5.43,18.86,34.94
283,2015,8,12,14,19,39,21.44,807.0,24.0,99.9,5.82,18.91,34.94
284,2015,8,12,14,19,41,21.44,805.0,24.0,99.9,5.96,18.86,34.95
285,2015,8,12,14,19,43,21.44,806.0,24.0,99.9,5.59,18.86,34.95
